Designator,Mid X,Mid Y,Rotation,Layer
D1,87.9625,-57.15,0.0,top
D10,90.34375,-100.0125,90.0,bottom
D11,90.34375,-80.9625,90.0,bottom
D12,157.01875,-52.3875,180.0,bottom
D2,87.9625,-61.9125,0.0,top
D3,87.9625,-66.675,0.0,top
D4,128.44375,-80.9625,90.0,bottom
D5,147.49375,-80.9625,90.0,bottom
D6,166.54375,-80.9625,90.0,bottom
D7,128.44375,-100.0125,90.0,bottom
D8,147.49375,-100.0125,90.0,bottom
D9,166.54375,-100.0125,90.0,bottom
SW1,118.91875,-59.7475,0.0,top
SW10,99.86875,-97.8475,0.0,top
SW11,99.86875,-78.7975,0.0,top
SW12,156.76875,-42.98125,0.0,top
SW2,137.96875,-59.7475,0.0,top
SW3,157.01875,-59.7475,0.0,top
SW4,118.91875,-78.7975,0.0,top
SW5,137.96875,-78.7975,0.0,top
SW6,157.01875,-78.7975,0.0,top
SW7,118.91875,-97.8475,0.0,top
SW8,137.96875,-97.8475,0.0,top
SW9,157.01875,-97.8475,0.0,top
U1,87.9625,-42.8625,0.0,top
